objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7939541",5G NR,Amsterdam,2021/09/29,2021/10/13,5G NR,Amsterdam,119446,488177,1051KL,8425063330
"7939542",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,118787,488200,1055MV,608604430
"7939543",5G NR,Halfweg,2020/05/02,2020/05/16,5G NR,Haarlemmerliede c.a.,111992,488347,1165GP,5372440235
"7939544",5G NR,Haarlem,2020/03/25,2020/04/08,5G NR,Haarlem,106373,488428,2033AP,8672752622
"7939545",5G NR,Raalte,2020/06/02,2020/06/16,5G NR,Raalte,215755,488590,8102HD,5964705459
"7939546",5G NR,Nunspeet,2020/03/28,2020/04/11,5G NR,Nunspeet,183381,488312,8072BA,2528180502
"7939547",5G NR,Amsterdam,2020/04/01,2020/04/15,5G NR,Amsterdam,118121,488379,1055KA,4571229063
"7939548",5G NR,Nunspeet,2021/02/16,2021/03/02,5G NR,Nunspeet,181999,488378,8071RX,9201802030
"7939837",5G NR,Maarsbergen,2020/05/02,2020/05/16,5G NR,Utrechtse Heuvelrug,156503,451628,3953MB,3666297173
"7939838",5G NR,Zoetermeer,2020/05/20,2020/06/03,5G NR,Zoetermeer,95836,452065,2723RJ,108084736
"7939839",5G NR,Eibergen,2021/04/22,2021/05/06,5G NR,Berkelland,243131,452546,7152DJ,3798492702
"7939840",5G NR,Zoetermeer,2020/03/27,2020/04/10,5G NR,Zoetermeer,93580,452180,2713AD,3404453424
"7939841",5G NR,Nieuwegein,2020/05/13,2020/05/27,5G NR,Nieuwegein,137050,451870,3439LG,7866793085
"7939842",5G NR,Zoetermeer,2020/04/01,2020/04/15,5G NR,Zoetermeer,91889,452420,2716DR,1827787011
"7939843",5G NR,Zoetermeer,2020/04/01,2020/04/15,5G NR,Zoetermeer,94684,452390,2722TM,623339557
"7939844",5G NR,Den Haag,2020/03/25,2020/04/08,5G NR,'s-Gravenhage,78779,452609,2533AR,9911643500
"7939845",5G NR,Odijk,2020/05/27,2020/06/10,5G NR,Bunnik,143975,452050,3984SR,786373861
"7939846",5G NR,Ede,2020/03/25,2020/04/08,5G NR,Ede,172577,452070,6718WB,7262978515
"7939847",5G NR,Zoetermeer,2021/04/01,2021/04/15,5G NR,Zoetermeer,92687,452475,2715XA,8849345717
"7939848",5G NR,Rijswijk,2020/04/01,2020/04/15,5G NR,Rijswijk,82990,452609,2282AC,3758235331
"7939849",5G NR,Nieuwegein,2020/03/25,2020/04/08,5G NR,Nieuwegein,136174,452194,3439LD,639177862
"7939850",5G NR,Den Haag,2020/04/01,2020/04/15,5G NR,'s-Gravenhage,75640,452880,2555KR,1403394636
"7939851",5G NR,Dieren,2020/05/02,2020/05/16,5G NR,Rheden,203618,452511,6951JG,5464362990
"7939852",5G NR,Den Haag,2020/04/02,2020/04/16,5G NR,'s-Gravenhage,80237,452839,2525ZM,1821396080
"7939853",5G NR,Nieuwegein,2020/03/28,2020/04/11,5G NR,Nieuwegein,133218,452369,3437PK,9265320170
"7939854",5G NR,Den Haag,2020/05/16,2020/05/30,5G NR,'s-Gravenhage,86261,452864,2491DL,4656309885
"7939855",5G NR,Den Haag,2021/04/28,2021/05/12,5G NR,'s-Gravenhage,82300,452975,2523BK,5407448437
"7939856",5G NR,Den Haag,2020/03/20,2020/04/03,5G NR,'s-Gravenhage,81640,453012,2521TR,4970490218
"7939857",5G NR,Zoetermeer,2020/04/16,2020/04/30,5G NR,Zoetermeer,92228,452874,2716PX,277194317
