objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7909033",LTE,Beek (LB),2020/09/24,2020/09/24,LTE,Beek,183500,328686,6191BN,887956152
"7909034",LTE,Elsloo (LB),2015/06/09,2019/12/11,LTE,Stein,181785,328848,6181LB,664696793
"7909035",LTE,Geleen,2007/05/30,2016/12/23,LTE,Sittard-Geleen,185746,329147,6164BL,8382717667
"7909036",LTE,Merkelbeek,2016/01/14,2019/12/11,LTE,Onderbanken,193640,329432,6447BG,827078893
"7909037",LTE,Elsloo (LB),2020/12/17,2020/12/17,LTE,Stein,182681,329365,6181MC,5486850954
"7909038",LTE,Brunssum,2021/01/29,2021/01/29,LTE,Brunssum,197574,329568,6442PB,922374863
"7909039",LTE,Oirsbeek,2015/04/13,2015/10/28,LTE,Schinnen,191823,329585,6438AA,9728534175
"7909040",LTE,Geleen,2020/08/06,2020/08/06,LTE,Sittard-Geleen,184876,329737,6161BZ,9730271773
"7909041",LTE,Brunssum,2020/08/06,2020/08/06,LTE,Brunssum,196017,329883,6441PA,9013127351
"7909042",LTE,Stein,2015/05/21,2019/12/11,LTE,Stein,182490,330462,6171XA,2727437319
"7909043",LTE,Meers,2019/11/26,2020/02/13,LTE,Stein,179830,330708,6181NB,5339322021
"7909044",LTE,Geleen,2015/08/13,2015/12/09,LTE,Sittard-Geleen,185903,330800,6165RB,144691936
"7909045",LTE,Stein,2015/05/15,2015/05/15,LTE,Stein,181488,331009,6171HS,6969562010
"7909046",LTE,Schinveld,2016/08/26,2017/06/26,LTE,Onderbanken,197338,331322,6451GC,1633040141
"7909047",LTE,Geleen,2011/06/01,2017/04/24,LTE,Sittard-Geleen,187095,331260,6166CT,5380579273
"7909048",LTE,Geleen,2020/08/28,2020/08/28,LTE,Sittard-Geleen,185533,331318,6161SC,8778000849
"7909049",LTE,Munstergeleen,2020/05/25,2020/05/25,LTE,Sittard-Geleen,188634,331363,6151BX,2413252820
"7909050",LTE,Geleen,2015/08/07,2015/12/09,LTE,Sittard-Geleen,186233,331353,6162AJ,5927176705
"7909051",LTE,Windraak,2020/10/23,2020/10/23,LTE,Sittard-Geleen,190238,331455,6153AD,7353259622
"7909052",LTE,Schinveld,2021/02/11,2021/02/11,LTE,Onderbanken,195996,331676,6451PK,3694253231
"7909053",LTE,Stein,2015/09/24,2016/01/18,LTE,Stein,180562,331665,6171RN,4120376176
"7909054",LTE,Stein,2015/05/15,2019/12/11,LTE,Stein,182837,331986,6171AZ,301280365
"7909055",LTE,Geleen,2015/06/18,2019/12/14,LTE,Sittard-Geleen,184780,332480,6163JS,9235512467
"7909056",LTE,Geleen,2015/05/13,2015/05/13,LTE,Sittard-Geleen,186217,332505,6163AH,9991527322
